,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
177,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,2,293,2.3278218423533805,True,0.861,1
178,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,3,406,-9.365274959606856,True,0.861,1
179,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,4,533,-0.4638673214397791,True,0.861,1
180,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,5,673,-1.060664041174527,True,0.861,1
181,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,6,830,-8.779399983255798,True,0.861,1
182,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,7,1004,0.3921501320123673,True,0.861,1
183,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,8,1199,1.4936242403204012,True,0.861,1
184,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,9,1416,-7.57839033234979,True,0.861,1
185,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,10,1657,10.306972165816822,True,0.861,1
186,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,11,1926,-0.4607090993152775,True,0.861,1
187,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,12,2226,-0.4245947232813884,True,0.861,1
188,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,13,2560,-6.059358924201829,True,0.861,1
189,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,14,2932,0.4280562652588629,True,0.861,1
190,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,15,3346,4.792043756775722,True,0.861,1
191,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,16,3808,-8.039531322926033,True,0.861,1
192,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,17,4322,1.175575324588877,True,0.861,1
193,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,18,4895,6.1437918582907685,True,0.861,1
194,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,19,5534,-0.7004864260967605,True,0.861,1
195,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,20,6245,0.027149855328250247,True,0.861,1
196,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,21,7037,-0.4959357937768159,True,0.861,1
197,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,22,7920,2.1499430093262557,True,0.861,1
198,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,23,8904,4.609714974739206,True,0.861,1
199,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,24,10000,1.254147588145771,True,0.861,1
200,1,4,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_1.wav,0,0,100,1.460847785307183,True,0.526,1
201,1,4,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_1.wav,0,1,191,-1.3354559868908784,True,0.526,1
202,1,4,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_1.wav,0,2,293,-1.7472144641702683,True,0.526,1
203,1,4,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_1.wav,0,3,406,-0.8598872800456911,True,0.526,1
